Data,Aperto,Alto,Basso,Chiusura*,Chiusura aggiustata**,Volume
09 ago 2022,"7,6660","7,8890","7,6230","7,8330","7,8330",88.511
08 ago 2022,"7,8760","7,9170","7,5320","7,5890","7,5890",117.789
05 ago 2022,"8,1510","8,2480","7,8980","8,0640","8,0640",111.704
04 ago 2022,"8,2810","8,4500","7,8250","8,1220","8,1220",102.540
03 ago 2022,"7,6710","8,4800","7,5500","8,2660","8,2660",134.210
02 ago 2022,"8,2280","8,2330","7,6250","7,7060","7,7060",106.080
01 ago 2022,"7,9100","8,2980","7,7530","8,2830","8,2830",104.021
29 lug 2022,"8,1550","8,3880","8,0100","8,2290","8,2290",77.774
28 lug 2022,"8,5800","8,8450","8,1030","8,1340","8,1340",89.237
27 lug 2022,"8,8810","9,1380","8,4870","8,6870","8,6870",105.217
26 lug 2022,"8,8140","9,7520","8,7500","8,9930","8,9930",38.204
25 lug 2022,"8,3900","8,8740","8,3470","8,7270","8,7270",33.164
22 lug 2022,"7,8920","8,4170","7,7500","8,2990","8,2990",52.813
21 lug 2022,"7,8730","8,1760","7,6060","7,9320","7,9320",96.422
20 lug 2022,"7,3120","8,0400","7,1740","8,0070","8,0070",120.860
19 lug 2022,"7,4320","7,5410","7,1090","7,2640","7,2640",96.160
18 lug 2022,"7,1680","7,5540","7,0780","7,4790","7,4790",91.133
15 lug 2022,"6,6690","7,1440","6,4200","7,0160","7,0160",105.875
14 lug 2022,"6,5980","6,8980","6,5370","6,6000","6,6000",121.044
13 lug 2022,"6,2520","6,7980","6,2010","6,6890","6,6890",116.805
12 lug 2022,"6,5250","6,7860","6,0140","6,1630","6,1630",132.046
11 lug 2022,"6,4460","6,6890","6,2320","6,4260","6,4260",109.392
08 lug 2022,"6,1880","6,3050","6,0120","6,0340","6,0340",107.326
07 lug 2022,"5,5390","6,3810","5,4880","6,2970","6,2970",127.670
06 lug 2022,"5,4600","5,7370","5,3800","5,5100","5,5100",73.506
05 lug 2022,"5,7120","5,9070","5,3250","5,5230","5,5230",110.174
01 lug 2022,"5,7010","5,9500","5,5900","5,7300","5,7300",106.967
30 giu 2022,"6,4280","6,6020","5,3570","5,4240","5,4240",182.579
29 giu 2022,"6,6320","6,8330","6,4050","6,4980","6,4980",82.205
28 giu 2022,"6,4490","6,7650","6,3860","6,5510","6,5510",90.792
27 giu 2022,"6,1260","6,5380","6,0100","6,5010","6,5010",33.103
24 giu 2022,"6,2280","6,3370","6,0210","6,2200","6,2200",26.571
23 giu 2022,"6,8290","6,8400","6,1750","6,2390","6,2390",78.031
22 giu 2022,"6,8440","6,9300","6,5750","6,8580","6,8580",92.473
21 giu 2022,"6,8000","6,9760","6,5540","6,8080","6,8080",120.010
17 giu 2022,"7,4540","7,5880","6,8810","6,9440","6,9440",103.759
16 giu 2022,"7,5400","8,0270","7,3300","7,4640","7,4640",137.433
15 giu 2022,"7,2690","7,6980","7,2010","7,4200","7,4200",123.589
14 giu 2022,"8,6860","8,8890","7,0080","7,1890","7,1890",273.717
13 giu 2022,"8,9200","8,9500","8,3820","8,6090","8,6090",167.556
10 giu 2022,"8,9970","9,1490","8,6220","8,8500","8,8500",134.611
09 giu 2022,"8,6290","9,0360","8,0160","8,9630","8,9630",244.480
08 giu 2022,"9,3350","9,6640","8,4270","8,6990","8,6990",250.296
07 giu 2022,"9,3590","9,5440","9,2000","9,2930","9,2930",140.029
06 giu 2022,"8,7500","9,4000","8,7320","9,3220","9,3220",129.103
03 giu 2022,"8,4120","8,6930","8,2670","8,5230","8,5230",75.228
02 giu 2022,"8,7830","9,0570","8,3770","8,4850","8,4850",119.011
01 giu 2022,"8,2710","8,7910","8,1460","8,6960","8,6960",111.962
31 mag 2022,"8,8740","8,9160","8,1180","8,1450","8,1450",125.484
27 mag 2022,"8,8110","8,8950","8,2850","8,7270","8,7270",107.093
26 mag 2022,"8,9840","9,4010","8,7850","8,9080","8,9080",163.265
25 mag 2022,"8,8310","9,3990","8,7650","8,9710","8,9710",37.393
24 mag 2022,"8,7270","8,9300","8,6050","8,7960","8,7960",31.660
23 mag 2022,"8,0790","8,8220","7,8510","8,7440","8,7440",65.546
20 mag 2022,"8,1120","8,1890","7,8370","8,0830","8,0830",85.458
19 mag 2022,"8,2400","8,5000","7,9050","8,3080","8,3080",90.577
18 mag 2022,"8,3180","8,5480","8,1600","8,3680","8,3680",80.717
17 mag 2022,"8,0160","8,3720","8,0150","8,3040","8,3040",76.666
16 mag 2022,"7,7000","8,1830","7,6630","7,9560","7,9560",93.521
13 mag 2022,"7,6730","7,9190","7,5150","7,6630","7,6630",85.042
12 mag 2022,"7,6370","7,7900","7,2550","7,7390","7,7390",107.056
11 mag 2022,"7,3120","7,7210","7,2960","7,6400","7,6400",120.930
10 mag 2022,"7,0300","7,4630","6,4300","7,3850","7,3850",185.464
09 mag 2022,"7,8430","8,2870","6,9620","7,0260","7,0260",202.616
06 mag 2022,"8,8430","8,9960","7,9570","8,0430","8,0430",168.297
05 mag 2022,"8,3550","8,9130","8,1170","8,7830","8,7830",160.163
04 mag 2022,"7,8150","8,4740","7,7290","8,4150","8,4150",132.317
03 mag 2022,"7,5400","8,1690","7,5390","7,9540","7,9540",153.339
02 mag 2022,"7,4120","7,6170","7,2190","7,4750","7,4750",110.917
29 apr 2022,"6,9390","7,3350","6,8050","7,2440","7,2440",109.239
28 apr 2022,"7,3950","7,4220","6,8790","6,8880","6,8880",139.569
27 apr 2022,"6,8580","7,3440","6,8000","7,2670","7,2670",155.327
26 apr 2022,"6,8360","7,0500","6,6620","6,8500","6,8500",41.407
25 apr 2022,"6,4140","6,9660","6,3450","6,6690","6,6690",32.516
22 apr 2022,"6,9380","7,0800","6,4380","6,5340","6,5340",80.599
21 apr 2022,"6,8250","7,1460","6,7030","6,9570","6,9570",145.263
20 apr 2022,"7,2530","7,4100","6,7910","6,9370","6,9370",157.958
19 apr 2022,"7,7760","7,9390","6,9540","7,1760","7,1760",236.995
18 apr 2022,"7,3670","8,0650","7,3650","7,8200","7,8200",191.084
14 apr 2022,"7,0460","7,3460","6,9500","7,3000","7,3000",214.218
13 apr 2022,"6,7040","7,0910","6,6520","6,9970","6,9970",210.551
12 apr 2022,"6,7050","6,9470","6,6000","6,6800","6,6800",234.248
11 apr 2022,"6,3940","6,7220","6,2470","6,6430","6,6430",177.957
08 apr 2022,"6,4110","6,5380","6,2570","6,2780","6,2780",188.342
07 apr 2022,"6,1160","6,4400","6,0000","6,3590","6,3590",199.510
06 apr 2022,"6,0780","6,3940","6,0000","6,0290","6,0290",166.720
