Data,Aperto,Alto,Basso,Chiusura*,Chiusura aggiustata**,Volume
27 gen 2023,"2,8760","3,1760","2,8320","3,1090","3,1090",128.689
26 gen 2023,"3,0030","3,0030","2,7610","2,9440","2,9440",47.669
25 gen 2023,"3,2420","3,2510","2,9920","3,0670","3,0670",40.750
24 gen 2023,"3,4500","3,5950","3,2240","3,2580","3,2580",62.585
23 gen 2023,"3,4500","3,5640","3,2430","3,4470","3,4470",130.377
20 gen 2023,"3,2030","3,3890","3,0910","3,1740","3,1740",106.735
19 gen 2023,"3,2930","3,3960","3,1860","3,2750","3,2750",99.670
18 gen 2023,"3,6280","3,6440","3,2740","3,3110","3,3110",119.853
17 gen 2023,"3,5570","3,7890","3,5210","3,5860","3,5860",143.310
13 gen 2023,"3,6770","3,7600","3,3840","3,4190","3,4190",112.096
12 gen 2023,"3,6940","3,9460","3,6070","3,6950","3,6950",123.743
11 gen 2023,"3,5750","3,7770","3,4220","3,6710","3,6710",133.203
10 gen 2023,"3,9110","3,9110","3,5460","3,6390","3,6390",112.231
09 gen 2023,"3,8100","4,1280","3,7810","3,9100","3,9100",130.276
06 gen 2023,"3,7640","3,8390","3,5200","3,7100","3,7100",105.050
05 gen 2023,"4,1550","4,1750","3,6510","3,7200","3,7200",116.682
04 gen 2023,"4,0080","4,2190","3,9000","4,1720","4,1720",99.759
03 gen 2023,"4,3930","4,3940","3,8940","3,9880","3,9880",116.837
30 dic 2022,"4,5580","4,6150","4,3780","4,4750","4,4750",62.281
29 dic 2022,"4,7670","4,7900","4,4220","4,5590","4,5590",78.441
28 dic 2022,"5,1830","5,1830","4,5880","4,7090","4,7090",115.022
27 dic 2022,"5,2830","5,3670","5,0810","5,2820","5,2820",41.154
23 dic 2022,"5,0930","5,2450","4,8250","5,0790","5,0790",42.105
22 dic 2022,"5,4650","5,6530","4,9750","4,9990","4,9990",66.757
21 dic 2022,"5,3890","5,6090","5,2650","5,3320","5,3320",89.444
20 dic 2022,"5,8320","5,9060","5,2560","5,3260","5,3260",123.996
19 dic 2022,"6,1540","6,2750","5,7650","5,8510","5,8510",121.279
16 dic 2022,"6,8880","6,8880","6,2190","6,6000","6,6000",116.642
15 dic 2022,"6,3710","7,0360","6,3580","6,9700","6,9700",139.782
14 dic 2022,"6,9510","6,9610","6,3370","6,4300","6,4300",139.039
13 dic 2022,"6,5340","7,1050","6,4990","6,9350","6,9350",168.109
12 dic 2022,"6,9500","7,0580","6,4870","6,5870","6,5870",171.431
09 dic 2022,"5,9300","6,3910","5,7940","6,2450","6,2450",160.027
08 dic 2022,"5,8140","6,1640","5,7700","5,9620","5,9620",154.504
07 dic 2022,"5,3880","5,8500","5,3830","5,7230","5,7230",172.964
